ui_activate|Активировать
ui_activation_code|Код активации:
ui_activation_denied|В активации отказано!
ui_activation_successful|Игра успешно активирована.
ui_activation_successful2|Пожалуйста, сохраните ваш серийный номер. Возможно он еще понадобится в будущем если вы захотите установить Mount&&Blade на новом компьютере.
ui_advanced|Дополнительно
ui_antialiasing|Сглаживание:
ui_audio|Звук
ui_auto_adjust|Автонастройка
ui_cancel2|Выход
ui_cant_write_to_registry|Не удалось записать в реестр!
ui_close|Закрыть
ui_configure_caption| 
ui_configure|Настройки
ui_continue_playing_the_trial_mode|Продолжить играть в пробном режиме
ui_current_setting|           Текущий модуль:
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_disable_blood|Отключить кровь
ui_disable_music|Отключить музыку
ui_disable_sound|Отключить звуки
ui_disable|Отключить
ui_enable_cheats|Включить чит-коды
ui_enable_edit_mode|Режим редактирования (может замедлить игру).
ui_enable_pixel_shaders|Пиксельные шейдеры
ui_enable_sound_variation|Включить изменения звука
ui_enable_version_check|Включить проверку обновлений
ui_enable_vertex_shaders|Тип рендеринга:
ui_faq_caption|ЧАВО
ui_faq_text|"В: Что такое активация?\r\nО: Метод активации означает удобный для пользователя способ защиты от копирования который основан на распространении индивидуального серийного номера вместе с каждой копией игры. Вам необходимо один раз активировать игру своим серийным номером на каждом компьютере на котором вы будете играть в игру. После однократной активации, вам нет необходимости делать что-то ещё чтобы играть также как держать диск игры в приводе. На протяжении всего времени пока вы храните свой серийный номер, сможете свободно активировать игру и играть, даже спустя многие годы.\r\n\r\nВ: Где я могу достать свой серийный номер?\r\nО: Каждая коробочная копия игры содержит индивидуальный серийный номер. Разные продавцы могут распространять номера разнообразными способами, но обычно он вложен внутри вашего печатного издания. Если вы приобрели вашу игру в интернете, тогда онлайн продавец снабжает вас вашим серийным номером.\r\n\r\nВ: Как происходит процесс активации?\r\nО: Игра считывает значение хеш-функции из спецификаций вашего компьютера и передает его на сервер активации через интернет вместе с вашим серийным номером. Сервер активации регистрирует серийный номер и отправляет на ваш компьютер активационный номер, который затем открывает полный режим игры.\r\n\r\nВ: Могу ли я активировать игру на нескольких компьютерах?\r\nО: Да, можете. Только помните что зарегистрированная вами игра для вашего личного пользования. Сервер активации может временно отклонять серийный номер если он использован на многих компьютерах за короткий период времени. \r\n\r\nВ: Программа прекращает реагировать после нажатия кнопки активации.\r\nО: Иногда такое бывает в процессе активации. Будьте терпеливы, в итоге игра сообщит результат.\r\n\r\nВ: Мой компьютер не имеет доступа в интернет. Как мне активировать игру?\r\nО: В этом случае используйте ручную активацию. Нажмите "Ввести свой серийный номер", а затем "Ручная активация". Но вам по-прежнему необходимо открыть веб-страницу ручной активации с другого компьютера который имеет интернет соединение.\r\n"
ui_force_single_threading|Однопоточный режим
ui_force_vsync|Вертикальная синхронизация
ui_game|Игра
ui_incorrect_activation_code|Неверный код активации!
ui_incorrect_hardware_hash|Неверный аппаратный хэш!
ui_incorrect_serial_number|Неверный серийный номер!
ui_language|Язык:
ui_launch_activate|Ввести свой серийный номер
ui_launch_buy|Приобрести лицензию от TaleWorlds.com
ui_launch_faq|Часто задаваемые вопросы по активации
ui_m_high|Высокое
ui_m_low|Низкое
ui_m_ultra_high|Очень высокое
ui_manual_activation_caption|Ручная активация
ui_manual_activation_text1|1) В веб-браузере, откройте следующий адрес:
ui_manual_activation_text2|2) На открывшейся веб-странице введите серийный номер...
ui_manual_activation_text3|3) ...и этот аппаратный хэш:
ui_manual_activation_text4|4) Страница сообщит вам код активации. Введите или вставьте и нажмите "OK".
ui_manual_activation|Ручная активация
ui_max_frame_rate|Кадров в сек. (макс.):
ui_module_newer_than_application|Для выбранного вами модуля требуется более новая версия игры.
ui_module_older_than_application|Для выбранного вами модуля требуется старая версия игры.
ui_new_version_message|Доступна новая версия игры. Посетить страницу загрузки сейчас?
ui_new_version_message2|Доступна новая версия игры. Посетите онлайн портал для покупки игры и загрузки новой версии.
ui_new_version|Новая версия:
ui_no2|Нет
ui_notification_serial_already_used|Серийный номер уже используется на другом компьютере. Вам придется подождать несколько недель для активации на этом компьютере.
ui_notification_serial_input|Введите или вставьте серийный номер ниже и нажмите "Активировать"
ui_notification_serial_internet_connection|Активация требует наличия действующего интернет соединения!
ui_notification_serial_offline|Если этот компьютер не обладает доступом в интернет также можете использовать:
ui_notification_unable_to_connect_to_activation_server|Не удалось соединиться с сервером активации!
ui_notification_unable_to_connect_to_activation_server2|Убедитесь что ваше интернет соединение включено и сделайте новую попытку. Если вы используете брандмауэр, то необходимо разрешить игре доступ в интернет. Если это не помогло, воспользуйтесь ручной активацией.
ui_off|Выкл.
ui_offline_activation_caption|Автономная активация
ui_offline_activation|Автономная активация
ui_ok|OK
ui_ok2|OK
ui_ondemand_textures|Загрузка текстур по требованию
ui_paste|Вставить
ui_play|Играть
ui_screen_size|Разрешение экрана:
ui_serial_key_caption|Серийный номер
ui_shadow_quality|Качество теней:
ui_show_framerate|Отображение частоты кадров
ui_start_windowed|Оконный режим
ui_switch_to_turkish_explanation|Хотите ли вы перевода игры на турецкий язык?
ui_switch_to_turkish_no|Нет
ui_switch_to_turkish_yes|Да
ui_texture_detail|Детализация текстур:
ui_there_are_no_modules_installed|Отсутствуют модули!
ui_trialmode_caption|Активация
